program-name,optimization-name,execution-time
add_constants.lisp,Constant propagation and Inlining and Peephole,703636.7998807691
add_constants.lisp,Constant propagation and inlining,703960.9001367353
add_constants.lisp,Inlining,717329.3000960257
add_constants.lisp,Inlining and CSE,687332.4000480352
add_constants.lisp,Inlining and CSE and Peephole,700975.3000602359
add_constants.lisp,Inlining and Peephole,687467.0998513466
add_constants.lisp,No optimizations,743075.799982762
add_constants.lisp,Peephole,694483.1999135204
adding_lots_of_constants.lisp,CSE and Peephole,701260.8999502845
adding_lots_of_constants.lisp,Common subexpression elimination,723867.0001243008
adding_lots_of_constants.lisp,Constant Propagation and Peephole,701064.5000264049
adding_lots_of_constants.lisp,Constant propagation,693112.1999514289
adding_lots_of_constants.lisp,Constant propagation and CSE,712610.8997908887
adding_lots_of_constants.lisp,Constant propagation and CSE and Peephole,687375.9000882274
adding_lots_of_constants.lisp,Constant propagation and Inlining and CSE,698833.4000197938
adding_lots_of_constants.lisp,Constant propagation and Inlining and CSE and Peephole,699200.899907737
adding_lots_of_constants.lisp,Constant propagation and Inlining and Peephole,687629.8997667618
adding_lots_of_constants.lisp,Constant propagation and inlining,694725.1000383403
adding_lots_of_constants.lisp,Inlining,710887.8002327401
adding_lots_of_constants.lisp,Inlining and CSE,731898.4997255029
adding_lots_of_constants.lisp,Inlining and CSE and Peephole,689885.0999277784
adding_lots_of_constants.lisp,Inlining and Peephole,708930.2001986653
adding_lots_of_constants.lisp,No optimizations,734627.6001044316
adding_lots_of_constants.lisp,Peephole,687159.0001537697
assoc-const-prop.lisp,CSE and Peephole,740326.6998153413
assoc-const-prop.lisp,Common subexpression elimination,707841.5001160465
assoc-const-prop.lisp,Constant Propagation and Peephole,712203.7997760344
assoc-const-prop.lisp,Constant propagation,731705.6999454508
assoc-const-prop.lisp,Constant propagation and CSE,717258.1001213985
assoc-const-prop.lisp,Constant propagation and CSE and Peephole,718554.0001955815
assoc-const-prop.lisp,Constant propagation and Inlining and CSE,712362.500053132
assoc-const-prop.lisp,Constant propagation and Inlining and CSE and Peephole,719018.000017968
assoc-const-prop.lisp,Constant propagation and Inlining and Peephole,734640.1998802321
assoc-const-prop.lisp,Constant propagation and inlining,718364.299973473
assoc-const-prop.lisp,Inlining,732421.3998799678
assoc-const-prop.lisp,Inlining and CSE,718048.0999522842
assoc-const-prop.lisp,Inlining and CSE and Peephole,721825.7000204176
assoc-const-prop.lisp,Inlining and Peephole,765911.4002308343
assoc-const-prop.lisp,No optimizations,822317.6999308635
assoc-const-prop.lisp,Peephole,730126.7000002554
assoc-prop.lisp,CSE and Peephole,717166.5001806105
assoc-prop.lisp,Common subexpression elimination,727380.0998518709
assoc-prop.lisp,Constant Propagation and Peephole,755839.1000202391
assoc-prop.lisp,Constant propagation,742749.2000715574
assoc-prop.lisp,Constant propagation and CSE,752070.5999922939
assoc-prop.lisp,Constant propagation and CSE and Peephole,757138.4998300346
assoc-prop.lisp,Constant propagation and Inlining and CSE,738449.2000710452
assoc-prop.lisp,Constant propagation and Inlining and CSE and Peephole,719248.899986269
assoc-prop.lisp,Constant propagation and Inlining and Peephole,786004.9998271279
assoc-prop.lisp,Constant propagation and inlining,733654.7998420428
assoc-prop.lisp,Inlining,737103.1999355182
assoc-prop.lisp,Inlining and CSE,737509.4999588327
