program-name,optimization-name,execution-time,normalized-execution-time
associativity_constant_folding.lisp,Inlining (2),1184243.9000247396,1.1587760874548363
associativity_constant_folding.lisp,Inlining and Peephole (6),1483826.7000413907,1.4519161955565607
associativity_constant_folding.lisp,No optimizations (0),1021978.1999694534,1.0
associativity_constant_folding.lisp,Peephole (3),1158913.6000111466,1.1339905293926877
b1_for_add.lisp,CP and Inlining and Peephole (7),695957.9000067606,0.942878943474792
b1_for_add.lisp,Constant Propagation (1),698412.4000155134,0.9462042830894284
b1_for_add.lisp,Constant Propagation and Peephole (5),692596.8000359717,0.9383253485097232
b1_for_add.lisp,Constant Propagation and inlining (4),709962.8999640117,0.9618528204333395
b1_for_add.lisp,Inlining (2),718583.3000221464,0.9735316787365
b1_for_add.lisp,Inlining and Peephole (6),688208.6000587151,0.9323802455684798
b1_for_add.lisp,No optimizations (0),738120.0999589055,1.0
b1_for_add.lisp,Peephole (3),759208.3999952592,1.0285702828544132
b2_big_if.lisp,CP and Inlining and Peephole (7),682613.2999776746,0.9576471742746714
b2_big_if.lisp,Constant Propagation (1),689220.8999488503,0.9669170631580856
b2_big_if.lisp,Constant Propagation and Peephole (5),673372.700020991,0.944683415090064
b2_big_if.lisp,Constant Propagation and inlining (4),685670.9000203409,0.9619367215791514
b2_big_if.lisp,Inlining (2),680632.2000556975,0.9548678631444909
b2_big_if.lisp,Inlining and Peephole (6),709522.7000718296,0.9953987255005805
b2_big_if.lisp,No optimizations (0),712802.5000383786,1.0
b2_big_if.lisp,Peephole (3),683045.3000475245,0.9582532328530666
b3_inline_prim2Add.lisp,CP and Inlining and Peephole (7),708836.4999617625,0.973569792646972
b3_inline_prim2Add.lisp,Constant Propagation (1),708096.6999637894,0.9725536952385206
b3_inline_prim2Add.lisp,Constant Propagation and Peephole (5),736930.4999883752,1.0121562223553868
b3_inline_prim2Add.lisp,Constant Propagation and inlining (4),687963.4999677364,0.9449012318756228
b3_inline_prim2Add.lisp,Inlining (2),689184.8000122991,0.9465786579551331
b3_inline_prim2Add.lisp,Inlining and Peephole (6),725357.6999573852,0.9962612613493952
b3_inline_prim2Add.lisp,No optimizations (0),728079.8000465438,1.0
b3_inline_prim2Add.lisp,Peephole (3),688775.3999762936,0.9460163569051941
bench-prog1.lisp,CP and Inlining and Peephole (7),2873996.999915107,1.0236614935109074
bench-prog1.lisp,Constant Propagation (1),2854837.899940321,1.0168373970017277
bench-prog1.lisp,Constant Propagation and Peephole (5),2852033.5000393973,1.0158385246330137
bench-prog1.lisp,Constant Propagation and inlining (4),2882068.799954141,1.026536510737273
bench-prog1.lisp,Inlining (2),3032889.099995373,1.0802557503873251
bench-prog1.lisp,Inlining and Peephole (6),2817584.500007797,1.003568464913624
bench-prog1.lisp,No optimizations (0),2807565.799957956,1.0
bench-prog1.lisp,Peephole (3),2783541.000007972,0.9914428363708007
bench-prog2.lisp,CP and Inlining and Peephole (7),1651653.0999979295,1.260319295542962
bench-prog2.lisp,Constant Propagation (1),2199100.799953157,1.6780576811367967
bench-prog2.lisp,Constant Propagation and Peephole (5),1473505.500052852,1.1243810300163022
bench-prog2.lisp,Constant Propagation and inlining (4),1919494.300000224,1.4646996418182765
bench-prog2.lisp,Inlining (2),1889904.1000622676,1.4421203847449677
bench-prog2.lisp,Inlining and Peephole (6),1885954.4000406456,1.4391065054086454
bench-prog2.lisp,No optimizations (0),1310503.7000059383,1.0
bench-prog2.lisp,Peephole (3),2656873.7000161493,2.0273683317369575
bench-prog3.lisp,CP and Inlining and Peephole (7),921046.299936279,1.0990452508277901
bench-prog3.lisp,Constant Propagation (1),811666.6000205441,0.9685271218936922
bench-prog3.lisp,Constant Propagation and Peephole (5),833458.9000696724,0.9945309437159671
bench-prog3.lisp,Constant Propagation and inlining (4),818514.6999494464,0.976698667346483
bench-prog3.lisp,Inlining (2),801633.1999897375,0.9565546937385859
bench-prog3.lisp,Inlining and Peephole (6),886451.4999913808,1.0577647521325473
bench-prog3.lisp,No optimizations (0),838042.2000300314,1.0
bench-prog3.lisp,Peephole (3),816013.9999745297,0.9737146887654199
bench1mke2.lisp,CP and Inlining and Peephole (7),693864.4999536336,0.9689237315460951
bench1mke2.lisp,Constant Propagation (1),682791.8999988469,0.9534617719461645
bench1mke2.lisp,Constant Propagation and Peephole (5),674514.3999978609,0.9419029356180859
bench1mke2.lisp,Constant Propagation and inlining (4),683303.5000454402,0.954176178615244
bench1mke2.lisp,Inlining (2),685099.6000139276,0.9566842819752125
bench1mke2.lisp,Inlining and Peephole (6),674135.2000062761,0.9413734145503946
bench1mke2.lisp,No optimizations (0),716118.8000281982,1.0
bench1mke2.lisp,Peephole (3),767624.0999899164,1.071922842913341
bench2mke2.lisp,CP and Inlining and Peephole (7),719412.8999799432,0.9954848362134169
bench2mke2.lisp,Constant Propagation (1),709695.4000189726,0.9820382829790776
bench2mke2.lisp,Constant Propagation and Peephole (5),1114101.700022729,1.5416339467962503
bench2mke2.lisp,Constant Propagation and inlining (4),700313.2999670925,0.9690558380802662
bench2mke2.lisp,Inlining (2),722418.499935884,0.9996438236043106
bench2mke2.lisp,Inlining and Peephole (6),937329.2999953264,1.2970258174546196
bench2mke2.lisp,No optimizations (0),722675.9000332095,1.0
bench2mke2.lisp,Peephole (3),695293.0999432283,0.9621091555858956
bench3mke2.lisp,CP and Inlining and Peephole (7),810701.2000436953,1.13189116447149
bench3mke2.lisp,Constant Propagation (1),692610.9000232827,0.967014922527247
bench3mke2.lisp,Constant Propagation and Peephole (5),815709.5000569825,1.1388836920929573
bench3mke2.lisp,Constant Propagation and inlining (4),688589.9999360845,0.961400990684446
bench3mke2.lisp,Inlining (2),681104.3999732647,0.9509496869757217
bench3mke2.lisp,Inlining and Peephole (6),1009134.2999658082,1.4089410473733803
bench3mke2.lisp,No optimizations (0),716235.9999711043,1.0
bench3mke2.lisp,Peephole (3),676696.2000256171,0.9447950117739371
benchmark-1.lisp,CP and Inlining and Peephole (7),690496.1999680381,0.8538441934015727
benchmark-1.lisp,Constant Propagation (1),698845.7999796083,0.8641690257285789
benchmark-1.lisp,Constant Propagation and Peephole (5),691771.3000802905,0.8554209389751223
benchmark-1.lisp,Constant Propagation and inlining (4),704394.5000077656,0.8710303600852177
benchmark-1.lisp,Inlining (2),722347.0999633719,0.893229936606081
benchmark-1.lisp,Inlining and Peephole (6),700610.7999586675,0.866351564870059
benchmark-1.lisp,No optimizations (0),808691.0999736574,1.0
benchmark-1.lisp,Peephole (3),701929.6000180475,0.8679823483168201
benchmark-2.lisp,CP and Inlining and Peephole (7),697021.8000788009,0.9421366424561982
benchmark-2.lisp,Constant Propagation (1),682423.8000262994,0.9224051064346789
benchmark-2.lisp,Constant Propagation and Peephole (5),678940.300076647,0.9176965981122838
benchmark-2.lisp,Constant Propagation and inlining (4),673847.8999977815,0.9108134034807763
benchmark-2.lisp,Inlining (2),701641.399973596,0.9483807718849783
benchmark-2.lisp,Inlining and Peephole (6),689997.9999616335,0.9326428512162063
benchmark-2.lisp,No optimizations (0),739830.8999654546,1.0
benchmark-2.lisp,Peephole (3),684666.3999567681,0.9254363395591313
benchmark-3.lisp,CP and Inlining and Peephole (7),686638.9999231615,0.9429061941917579
benchmark-3.lisp,Constant Propagation (1),692690.699997911,0.9512165078886359
benchmark-3.lisp,Constant Propagation and Peephole (5),714647.0000407135,0.9813673314133817
benchmark-3.lisp,Constant Propagation and inlining (4),700736.3999946392,0.9622650215390003
benchmark-3.lisp,Inlining (2),733068.2999963756,1.0066638232165008
benchmark-3.lisp,Inlining and Peephole (6),694886.0999727913,0.9542312743602093
benchmark-3.lisp,No optimizations (0),728215.5999746465,1.0
benchmark-3.lisp,Peephole (3),697294.6000132652,0.9575386740376644
benchmark-cse.lisp,CP and Inlining and Peephole (7),707330.2999742737,0.9502912686260705
benchmark-cse.lisp,Constant Propagation (1),701015.4999989027,0.9418073972580076
benchmark-cse.lisp,Constant Propagation and Peephole (5),704231.500003516,0.9461280614857334
benchmark-cse.lisp,Constant Propagation and inlining (4),719577.2000159195,0.9667448578159237
benchmark-cse.lisp,Inlining (2),701299.1000010516,0.9421884110585392
benchmark-cse.lisp,Inlining and Peephole (6),726828.0000062077,0.9764862359550696
benchmark-cse.lisp,No optimizations (0),744329.9999977171,1.0
benchmark-cse.lisp,Peephole (3),718021.6000051587,0.9646549245729191
benchmark-ex-1.lisp,CP and Inlining and Peephole (7),740513.5999761114,0.9702471733474369
benchmark-ex-1.lisp,Constant Propagation (1),725728.7000356882,0.9508754732518775
benchmark-ex-1.lisp,Constant Propagation and Peephole (5),706670.099953044,0.9259042197073898
benchmark-ex-1.lisp,Constant Propagation and inlining (4),715079.4000153837,0.9369223827979513
benchmark-ex-1.lisp,Inlining (2),720463.8000075647,0.9439772145697838
benchmark-ex-1.lisp,Inlining and Peephole (6),707757.1000081662,0.9273284457188294
benchmark-ex-1.lisp,No optimizations (0),763221.5999365144,1.0
benchmark-ex-1.lisp,Peephole (3),714225.2000448934,0.9358031797112444
benchmark-ex-2.lisp,CP and Inlining and Peephole (7),713770.7000765658,0.9264128311931144
